,ward,total_households,total_individuals,target,dw_00,dw_01,dw_02,dw_03,dw_04,dw_05,dw_06,dw_07,dw_08,dw_09,dw_10,dw_11,dw_12,dw_13,psa_00,psa_01,psa_02,psa_03,psa_04,stv_00,stv_01,car_00,car_01,lln_00,lln_01,lan_00,lan_01,lan_02,lan_03,lan_04,lan_05,lan_06,lan_07,lan_08,lan_09,lan_10,lan_11,lan_12,lan_13,lan_14,pg_00,pg_01,pg_02,pg_03,pg_04,lgt_00,pw_00,pw_01,pw_02,pw_03,pw_04,pw_05,pw_06,pw_07,pw_08,ADM4_PCODE,lat,lon,NL,source,city
10,41602005: Ward 5,1869.05745,5738.19717,18.9152478967,0.9464382114,0.0019697094,0.0006409755,0.0,0.0007576653,0.0012468745,0.0030172588,0.018436833,0.0232323517,0.0013636873,0.0007576653,0.0021387679,0.0,0.0,0.2240672099,0.639643268,0.0,0.0061512909,0.1301382312,0.268595029,0.731404971,0.227309198,0.772690802,0.1275899358,0.8724100642,0.4269458433,0.023598316,0.0003977312,0.3067343449,0.0031791135,0.0018626826,0.1856285552,0.0237289981,0.0072751003,0.0,0.0002342879,0.0,0.0035107629,0.0,0.016904264,0.6391960177,0.2703001316,0.0045624208,0.0843107069,0.001630723,0.9047177656,0.5187725289,0.4275879749,0.010983397,0.0090611233,0.0024414819,0.0021213527,0.0290321413,0.0,0.0,ZA4162005,-30.1373675678,25.3856945906,0.0,train,Kopanong Local Municipality
11,41602006: Ward 6,1935.43743,5729.28787,23.3392127794,0.9174689,0.0015678833,0.0180963587,0.0019189719,0.0084396425,0.0,0.0083325453,0.0123741071,0.0242095194,0.0062583372,0.0,0.0013337347,0.0,0.0,0.2892843819,0.5609299573,0.0007644336,0.0291527348,0.1198684925,0.5103383683,0.4896616317,0.2021850327,0.7978149673,0.0651352599,0.9348647401,0.2500564822,0.025319796,0.0038583643,0.1104399909,0.003088609,0.001939995,0.5112359051,0.06381513,0.0075198124,0.0,0.0009599989,0.000196726,0.0084785581,0.0,0.0130906322,0.8092997062,0.124765129,0.0046520616,0.0558481538,0.0054349495,0.9510691854,0.4992339122,0.4818870998,0.0058526459,0.0005391908,0.0011872923,0.0,0.011299859,0.0,0.0,ZA4162006,-29.7640846637,25.4320672698,1.7539916338,train,Kopanong Local Municipality
12,41602007: Ward 7,1878.04354,5719.76277,18.9273646978,0.8592591629,0.0036697924,0.0035030285,0.0006204542,0.0006204542,0.0,0.0086675626,0.015889589,0.1024402288,0.0027316566,0.0,0.0025980708,0.0,0.0,0.2330698096,0.6020471457,0.0,0.017440316,0.1474427286,0.198961351,0.801038649,0.24816455,0.75183545,0.1059824577,0.8940175423,0.5142856056,0.0120987518,0.0019267058,0.1155717984,0.002757179,0.0013808003,0.257095404,0.0544069785,0.0026608971,0.0001898191,0.000235043,0.0,0.0032986945,0.0,0.034092323,0.6897772475,0.1929104081,0.0034010344,0.1111418402,0.0027694698,0.8762727194,0.4130387733,0.5095419779,0.0537119283,0.0149798018,0.0023600837,0.0013744942,0.0049929407,0.0,0.0,ZA4162007,-29.5043227013,25.5603030382,0.0,train,Kopanong Local Municipality
13,41602008: Ward 8,1981.27191,6459.97703,22.0994164299,0.7951175313,0.002446277,0.0013028802,0.0005221595,0.0,0.0018581498,0.0032876558,0.0589105712,0.1309310391,0.000714753,0.0,0.0049089829,0.0,0.0,0.2973183049,0.528279767,0.0001744743,0.0269771315,0.1472503223,0.1915106847,0.8084893153,0.1892666767,0.8107333233,0.1016603925,0.8983396075,0.25583234,0.011603919,0.0008530232,0.1356489576,0.0036607096,0.0047271081,0.5163090928,0.0191934955,0.0075496476,0.0016425353,0.0017847618,0.0010834373,0.0059003244,0.0,0.034210648,0.7579489133,0.1662956857,0.0035066131,0.0681796495,0.0040691383,0.9556730303,0.4039702254,0.5876797345,0.0025233639,0.0016655563,0.0,0.0,0.0041611199,0.0,0.0,ZA4162008,-29.7498587017,25.8954226945,1.6149658663,train,Kopanong Local Municipality
14,41603001: Ward 1,1704.17197,6181.22961,33.2621384449,0.6369681107,0.0031749026,0.0021602867,0.0,0.0,0.0008309725,0.0,0.2344743236,0.1209533683,0.0,0.0,0.0014380356,0.0,0.0,0.3368569057,0.5174883351,0.0003500824,0.0107360144,0.1345686623,0.0531855773,0.9468144227,0.0728702456,0.9271297544,0.0139628221,0.9860371779,0.0120312809,0.0068203258,0.0010956946,0.2345915605,0.0023659613,0.0014161454,0.7281810115,0.0023309666,0.0104112829,0.0001750412,0.0,0.0,0.0005807291,0.0,0.0,0.9970345188,0.0010892558,0.0009308116,0.0001823424,0.0007630715,0.8945925275,0.3447288421,0.6326625006,0.0021217929,0.0,0.0,0.0,0.0204868644,0.0,0.0,ZA4163001,-30.285249745,27.1098106727,2.5436502124,train,Mohokare Local Municipality
15,41603002: Ward 2,2207.67672,7370.30875,20.3606821564,0.914011595,0.0020710913,0.0082785219,0.0,0.0,0.0072713228,0.0134224,0.0287121749,0.0177223457,0.0016378757,0.0018255662,0.0050471067,0.0,0.0,0.2931379829,0.5282631382,0.0002997256,0.0108091198,0.1674900336,0.2345900943,0.7654099057,0.2716181244,0.7283818756,0.1098569676,0.8901430324,0.1210037286,0.0138910368,0.0010812681,0.3044547856,0.0031748833,0.00014731,0.4762310046,0.0050843487,0.0093621343,0.0006294417,0.0,0.0007722363,0.0043331509,0.0,0.0598346711,0.8619641396,0.0247599112,0.0028802823,0.1062301657,0.0041655012,0.924574541,0.4342565065,0.5375716559,0.01395414,0.0061322022,0.0012829052,0.0027824001,0.0040201901,0.0,0.0,ZA4163002,-30.4499049728,26.5928536712,0.0,train,Mohokare Local Municipality
16,41603003: Ward 3,2035.76863,6307.33402,27.47352974,0.8239764064,0.0054462279,0.0057029221,0.0005081815,0.0,0.011470778,0.0041247516,0.0826042103,0.0642029001,0.0013912386,0.0,0.0005723833,0.0,0.0,0.2824405072,0.5744240211,0.0,0.0146658857,0.128469586,0.1187151901,0.8812848099,0.1201015117,0.8798984883,0.0592378614,0.9407621386,0.0564819651,0.0081445251,0.0007004766,0.1899347769,0.0013081502,0.0012416102,0.7170980204,0.0013191596,0.0105036517,0.0001715416,0.0001715416,0.0001756463,0.0024434714,0.0,0.0103054634,0.9454035494,0.0058271022,0.0014819145,0.0466714335,0.0006160004,0.8543712013,0.3019382954,0.6354617273,0.0373965729,0.0066173483,0.0034023022,0.0025361183,0.0126476357,0.0,0.0,ZA4163003,-30.3155348566,27.1592844329,2.1051553331,train,Mohokare Local Municipality
17,41603004: Ward 4,1000.49291,2981.50275,20.1054518217,0.9080614174,0.0011974298,0.001132132,0.0014154223,0.0,0.0258844613,0.0096216474,0.0214464988,0.0189069406,0.0022967979,0.0028308446,0.0072064079,0.0,0.0,0.276673456,0.601599482,0.0,0.0057712474,0.1159558146,0.1326436286,0.8673563714,0.1349638949,0.8650361051,0.0603670845,0.9396329155,0.1158663832,0.0086838961,0.0003715777,0.2504341108,0.0022805547,0.0,0.603847543,0.0027240391,0.0149629545,0.0,0.000828941,0.0,0.0,0.0,0.0,0.8903575252,0.0649357476,0.0016052844,0.0422988005,0.0008026422,0.9371272906,0.2505442642,0.7245696824,0.0154809493,0.0011974298,0.0,0.0,0.0082076744,0.0,0.0,ZA4163004,-30.1220129536,26.7582204656,0.0,train,Mohokare Local Municipality
18,41603005: Ward 5,1552.08727,4762.15554,21.8675281062,0.8586474264,0.0007507568,0.0170877505,0.0,0.0,0.0023297015,0.0069962045,0.0853747483,0.0201443698,0.0044193713,0.0012885873,0.0029610835,0.0,0.0,0.3087675964,0.5656136969,0.0004544035,0.0083498701,0.1168144332,0.3310386471,0.6689613529,0.3220689517,0.6779310483,0.1459481528,0.8540518472,0.1357644694,0.0140981094,0.0025819904,0.2279268959,0.0031101441,0.0007205771,0.5749443812,0.0072758144,0.0058020154,0.0,0.0,0.0004879387,0.0157382722,0.0,0.0115493918,0.8441757133,0.0123526163,0.0085614612,0.1341942813,0.0007159279,0.9224524598,0.4606875424,0.5212426038,0.0020838519,0.0028546204,0.0,0.0,0.0131313815,0.0,0.0,ZA4163005,-30.3475857572,27.1121263052,2.1248756073,train,Mohokare Local Municipality
19,41603006: Ward 6,2292.3361,6543.25584,20.1903612651,0.8746959619,0.0219386503,0.0005083199,0.0009882408,0.0005083199,0.0114424407,0.0194216808,0.0232835839,0.0248374006,0.0173626503,0.0,0.005012751,0.0,0.0,0.2556511989,0.6112524694,0.0005045562,0.0233125532,0.1092792224,0.1577030654,0.8422969346,0.1653010481,0.8346989519,0.0576294811,0.9423705189,0.1049695728,0.0121448239,0.0005430721,0.178148362,0.0015726345,0.0026455973,0.6805387836,0.0041728798,0.0080844844,0.0001828661,0.0006890148,0.0,0.0050852757,0.0,0.0012226329,0.8962681016,0.0443869393,0.0017551492,0.0551782857,0.0024115242,0.8775003936,0.3896087489,0.5559877934,0.0345694988,0.0040566085,0.002683808,0.0010452394,0.012048303,0.0,0.0,ZA4163006,-29.9588586171,26.4157985703,0.0,train,Mohokare Local Municipality
20,41801001: Ward 1,1357.9395,4788.33579,19.9221784181,0.8667032515,0.0019009389,0.0028475348,0.0049564358,0.0079953709,0.0155902527,0.0138751616,0.058684205,0.0200112523,0.0018769687,0.0010428447,0.0045157829,0.0,0.0,0.2452633716,0.5609061598,0.0004766291,0.0542937717,0.1390600679,0.2735451911,0.7264548089,0.3816432617,0.6183567383,0.1829006447,0.8170993553,0.2360482158,0.0235101181,0.0044236309,0.1445035499,0.0077788091,0.0039922305,0.3789524941,0.117742484,0.0149608033,0.0,0.0002267427,0.0025714592,0.0093201212,0.0,0.0559693413,0.7424440382,0.0116374817,0.0056775425,0.2385849385,0.0016559992,0.9788599639,0.4870145688,0.5055269914,0.0025263423,0.0007618454,0.0,0.0008580942,0.0033121579,0.0,0.0,ZA4181001,-28.6917684013,26.4822733881,2.4117122075,train,Masilonyana Local Municipality
21,41801002: Ward 2,2286.15853,7652.3598,18.4153629101,0.648790983,0.0034017151,0.0042050365,0.0004954556,0.00087483,0.1053786021,0.0021485124,0.0712635444,0.1559395883,0.0005096934,0.0011291255,0.0058629136,0.0,0.0,0.2492153322,0.5698508178,0.0,0.0361308913,0.1448029587,0.1100729397,0.8899270603,0.1924799721,0.8075200279,0.072459472,0.927540528,0.1188909596,0.0155839967,0.004610864,0.1268967411,0.0066928047,0.0033730223,0.4016191633,0.2786217645,0.0053458059,0.0001472879,0.0006302879,0.0022154865,0.002963512,0.0,0.0324083036,0.8901498215,0.0194187707,0.0028827696,0.0863630014,0.0011856369,0.8814569128,0.2641677303,0.6361490557,0.0629575544,0.0084676761,0.0056863948,0.0034993199,0.0190722688,0.0,0.0,ZA4181002,-28.6566983144,26.381648041,0.8478571216,train,Masilonyana Local Municipality
22,41801003: Ward 3,1977.8642,6856.61139,22.8243860221,0.8040513752,0.0141795782,0.0028017647,0.0007159844,0.0,0.0053356242,0.0069430955,0.0329629405,0.127359755,0.0025937928,0.001161824,0.0018942655,0.0,0.0,0.2533043061,0.6090153857,0.0,0.0144439891,0.1232363192,0.1286378054,0.8713621946,0.1621766044,0.8378233956,0.0638521593,0.9361478407,0.0985088948,0.0203209898,0.0014609739,0.1082243528,0.0052575344,0.0011704834,0.7168972675,0.0316665504,0.0111367592,0.0013181555,0.0013258313,0.0012006733,0.0013656892,0.0,0.0001458446,0.9074009706,0.0070964704,0.0033475267,0.0801014348,0.0020535975,0.8954376746,0.270321466,0.6436914273,0.0455002118,0.0269085815,0.0018281842,0.0005230592,0.0112270701,0.0,0.0,ZA4181003,-28.7262082547,26.7566857105,0.1289852703,train,Masilonyana Local Municipality
23,41801004: Ward 4,1403.67421,4410.22134,24.9954845291,0.8073994178,0.0045548461,0.0125790727,0.0008069465,0.0010088666,0.0033194811,0.0225346521,0.0404872652,0.1049353468,0.0,0.0,0.002374105,0.0,0.0,0.2241099287,0.575356821,0.0002461827,0.0130870756,0.1871999921,0.3653954574,0.6346045426,0.2806075777,0.7193924223,0.1700566188,0.8299433812,0.1840910393,0.0406015835,0.002026057,0.0238443157,0.0038489973,0.0012935723,0.6157791504,0.0128198282,0.0157792375,0.0,0.0005017481,0.0,0.0041811552,0.0,0.0952333154,0.7951936217,0.0229701873,0.004273849,0.1697057681,0.0078565739,0.8488941889,0.2814493685,0.6102776584,0.0073795258,0.0060289203,0.0018390022,0.0058735424,0.0871519824,0.0,0.0,ZA4181004,-28.6070257648,27.1003623235,0.0,train,Masilonyana Local Municipality
24,41801005: Ward 5,2761.17279,10103.96634,30.5872476746,0.8505872608,0.0028481593,0.0049685409,0.0004102206,0.0003746741,0.0061727466,0.0319134935,0.0784552893,0.0204165781,0.0,0.0004220091,0.0034310276,0.0,0.0,0.3043225063,0.5535131632,0.0,0.015613897,0.1265504335,0.2286697929,0.7713302071,0.1285460589,0.8714539411,0.0319583585,0.9680416415,0.053344762,0.039603587,0.0014068881,0.0427185479,0.0029938886,0.0012303317,0.8204848365,0.0118568922,0.0196595053,0.0,0.0001184228,0.0012468539,0.0053354839,0.0,0.0,0.970029435,0.0154602504,0.0023190299,0.0094798158,0.0027114689,0.9671113954,0.1208574853,0.8599369582,0.0108629529,0.002094447,0.0004102206,0.0,0.005837936,0.0,0.0,ZA4181005,-28.5336009972,27.0017045938,2.8479316199,train,Masilonyana Local Municipality
25,41801006: Ward 6,720.17486,5222.35932,12.3349570964,0.8184259862,0.0106626605,0.0565507244,0.0,0.0032359919,0.0197361096,0.0226707442,0.0045821094,0.0551820984,0.0055507075,0.0,0.003402868,0.0,0.0,0.077463247,0.2646825133,0.0,0.0045295409,0.6533246988,0.3954614856,0.6045385144,0.5700317004,0.4299682996,0.2447992422,0.7552007578,0.1658830764,0.0160513199,0.0004732516,0.0176357359,0.0024556774,0.0,0.1598175171,0.0058807922,0.0007722889,0.0,0.0002078984,0.0017772121,0.009401923,0.0,0.6196433071,0.7897084397,0.0128866889,0.0062601705,0.1855891352,0.0055555656,0.8646342778,0.7224117348,0.1526974296,0.0815376699,0.0200228039,0.0055639682,0.0016635127,0.0161028809,0.0,0.0,ZA4181006,-28.3900497972,26.8793943438,0.0,train,Masilonyana Local Municipality
26,41801007: Ward 7,2119.53141,6603.77724,31.1754073038,0.8798704049,0.0004880985,0.0029701895,0.0011604876,0.0011604876,0.0063564191,0.0005344059,0.0409877436,0.0518169061,0.0,0.0005344059,0.0141204513,0.0,0.0,0.3033299031,0.5620185365,0.0,0.0235421039,0.1111094565,0.1826094335,0.8173905665,0.0988101611,0.9011898389,0.018698784,0.981301216,0.0280594565,0.0334974791,0.0036536575,0.1428017051,0.0090883699,0.0008450921,0.7284240299,0.032187603,0.0097237108,0.0021690859,0.0003276822,0.0030328082,0.0061893199,0.0,0.0,0.9885562282,0.0047345177,0.0024641534,0.0023276315,0.0019174693,0.9690187842,0.3775044976,0.6131991222,0.0025541495,0.0,0.0,0.0,0.0067422308,0.0,0.0,ZA4181007,-28.4070767767,26.6946915595,3.2366096739,train,Masilonyana Local Municipality
27,41801008: Ward 8,1202.95778,4814.02526,30.5681717275,0.8019120089,0.0048619578,0.0009415875,0.0,0.0009415875,0.0009415875,0.0050580495,0.047755824,0.1358598969,0.0,0.0008675034,0.0008599969,0.0,0.0,0.2992071379,0.539972121,0.0002247537,0.0313571142,0.1292388732,0.0972459233,0.9027540767,0.0978815233,0.9021184767,0.0178273671,0.9821726329,0.0298820181,0.0245103575,0.0052819499,0.124476852,0.0044098501,0.0006836358,0.758915216,0.0328887327,0.0133594106,0.0002485529,0.0004495074,0.0027376591,0.0021562579,0.0,0.0,0.9907609521,0.0050807212,0.0026958583,0.0002485529,0.0012139155,0.9626557135,0.0713006071,0.9207046319,0.0050159782,0.0,0.0,0.0,0.0029787828,0.0,0.0,ZA4181008,-28.4270812415,26.6967001053,3.2648452871,train,Masilonyana Local Municipality
28,41801009: Ward 9,2367.19389,7772.10639,26.8902514783,0.5945020034,0.0035336016,0.0047701458,0.0005982273,0.0004784948,0.0037224116,0.0472577301,0.0213082926,0.3073933289,0.0010767221,0.0005982273,0.0147608145,0.0,0.0,0.3355235028,0.5180507855,0.0005578127,0.014524805,0.131343094,0.1501397378,0.8498602622,0.1100625179,0.8899374821,0.0225514903,0.9774485097,0.0268323862,0.010926617,0.0032723446,0.1113950024,0.00399353,0.0004272561,0.7880892467,0.0279591077,0.0103513907,0.0020102684,0.000423925,0.0053931827,0.0053231155,0.0,0.003602627,0.9843559437,0.0068299168,0.0034694456,0.0041718304,0.0011728635,0.9524735551,0.3612693635,0.5017348663,0.0296769607,0.0844627222,0.0,0.0,0.0228560872,0.0,0.0,ZA4181009,-28.413986689,26.7081502591,3.2525976833,train,Masilonyana Local Municipality
29,41801010: Ward 10,1378.04705,5110.43124,28.5052560433,0.8799957084,0.0026715343,0.0015792349,0.0,0.0,0.0010276282,0.0020552564,0.0688846364,0.0290554956,0.0,0.0010276282,0.0137028776,0.0,0.0,0.2718767702,0.5747918565,0.0004509209,0.0430470991,0.1098333533,0.1219108883,0.8780891117,0.1083911395,0.8916088605,0.0358120574,0.9641879426,0.0350001246,0.0250102651,0.0045277529,0.1861573467,0.0044535791,0.0026056255,0.6509048735,0.0756506823,0.0115415015,0.0,0.0007024104,0.0009148621,0.0025309762,0.0,0.0,0.9874068025,0.0077611924,0.0011435082,0.0002117179,0.003476779,0.9586358681,0.2050791735,0.6916349627,0.0029008298,0.0008455735,0.0,0.0,0.0995394606,0.0,0.0,ZA4181010,-28.6869929936,26.4570612988,2.4678153059,train,Masilonyana Local Municipality
30,41802001: Ward 1,2229.06398,7082.46268,17.759995386,0.8304102828,0.0053542788,0.0014363742,0.0006352981,0.0044261852,0.027525105,0.0033323853,0.0190603322,0.1001909331,0.0,0.0014199862,0.0062088393,0.0,0.0,0.2353782696,0.6153296582,0.000153297,0.0087400446,0.1403987306,0.1076932211,0.8923067789,0.2105339525,0.7894660475,0.0781915421,0.9218084579,0.1320201634,0.0156328547,0.0048568177,0.163658078,0.0114837499,0.0019283321,0.1019376667,0.5304512342,0.0026280195,0.0004750085,0.0004415272,0.0006757762,0.003736487,0.0,0.0300742848,0.861431932,0.0132260902,0.0135781076,0.1095545709,0.0022092993,0.7963259134,0.2006102535,0.6384055248,0.0479265786,0.0467688191,0.0033030591,0.0016221607,0.0613636043,0.0,0.0,ZA4182001,-28.5551734972,25.6818295887,0.0033348717,train,Tokologo Local Municipality
